X;Y;id;alue
425113.144695685;6726575.00862503;255;"Pukkila, Jaakkola-Nurmela"
426530.040774875;6726486.80874833;256;"Pukkila, Kuivalanmaeki-Rauhala"
428792.097452863;6726673.80613718;257;"Pukkila, Paskasuo"
426963.591694735;6727664.44326192;258;"Pukkila, Rautasuo-Seppaelae"
427386.066440346;6729936.82174413;259;"Orimattila, Tuulensuu"
468543.751482166;6747512.72791143;260;"Iitti, Mytvas"
476041.959941283;6726090.28474833;261;"Raussila, Tyyskaenmaeki"
387618.952390583;6772939.20213442;262;"Lammi, Syrjaentausta Center"
302114.585540656;6713190.42975734;263;"Salo, Pyysmaeki, Linna hevostal"
258823.591849461;6705332.62133879;264;"Paimio, Kyllelae-Kinkka"
250544.774588939;6714438.95372422;265;"Lieto, Taatila"
315053.095403798;6764697.12865703;266;Forssa
226675.525416273;6799233.32356922;267;"Panelia, Suosaari"
294000.355485354;7000765.61018461;268;"Kauhava, Saarimaa 1"
288076.737579527;7035281.91451917;269;"Uusikaarlepyy, Kangkyttan"
404024.953312929;7083384.18496251;270;"Nivala, Jakonmutka-Pumppuamo"
402909.068825248;7084097.85519835;271;"Nivala, Iisakinmutka-Jakonmutka"
432564.037734503;7113752.41964423;272;"Haapavesi, Piipsanneva N"
433890.379518596;7111594.30168157;273;"Haapavesi, Piipsanneva S"
437079.805622637;7188533.006546;274;"Tyrnaevae, Lehtoniemi-Heikkilaent"
615627.665129114;6945183.89532005;275;"Liperi, Siikakoski"
618016.896625971;6945815.66530949;276;Liperi
432251.632850737;6917325.918858;277;"Jyvaeskylae, Tikka-Mannila"
420295.816715804;6713698.97913119;278;"Askola, Puhar-Onkimaa"
427574.419871572;6725120.11987785;279;"Pukkila, Kantele-kylae E"
